sep=,
Video introduttivo - Questo video è molto piacevole,Video introduttivo - Ritengo che le immagini rendano la comunicazione più efficacie,Strategia 1 per la dimensione (2 immagini): Nessuna modifica,Strategia 2 per la dimensione (2 immagini): Cambia in base ai modificatori,Strategia 1 per la dimensione (4 immagini): Nessuna modifica,Strategia 2 per la dimensione (4 immagini): Cambia in base ai modificatori,Quale strategia per la dimensione hai preferito?,Quale strategia per la quantità di immagini hai preferito?,Strategia 1 per le immagini: Le immagini appaiono dopo il completamento della frase,Strategia 2 per le immagini: Le immagini appaiono simultaneamente alle parole,Strategia 3 per le immagini: L'apparizione dipende dell'albero a dipendenze,Quale strategia per l'apparizione hai preferito?,Strategia 1 per la pronuncia: Con pausa,Strategia 2 per la pronuncia: Senza pausa,Quale strategia per la pronuncia hai preferito?,Strategie più semplici,Strategie più sofisticate,Che video hai preferito?,Commento personale,Quanti anni hai?,Qual è il tuo genere?,Che titolo di studio possiedi?,Qual è la tua professione?,Ti è mai capitato di interagire con un robot?,Computer,Smartphone,Tablet,Wearable (smat watch - braccialetto fitness - etc.),Smart speaker,Robot
6,7,6,7,7,3,1,1,1,4,3,2,6,4,1,6,7,2,18 - 30,Femmina,Laurea,Studente,Sì,true,true,true,false,false,false
7,7,6,2,7,4,1,1,1,5,4,2,6,5,1,4,5,2,18 - 30,Maschio,Laurea,Studente,No,true,true,true,false,true,false
6,7,7,4,7,7,1,1,7,7,7,2,7,7,1,7,7,1,18 - 30,Maschio,Laurea,Studente,No,true,true,false,false,false,false
4,6,6,4,5,2,1,2,1,6,3,2,6,2,1,4,5,2,18 - 30,Maschio,Laurea,Studente,No,true,true,false,true,false,false
5,6,5,4,6,4,1,1,4,5,3,2,5,4,1,5,4,2,18 - 30,Maschio,Post laurea,Studente,No,true,true,true,false,false,false
3,6,7,5,7,3,1,1,1,4,4,2,3,6,2,2,4,2,18 - 30,Femmina,Laurea,Studente,Sì,true,true,true,false,false,false
6,5,5,5,4,4,1,2,3,5,7,3,4,6,2,4,6,2,18 - 30,Maschio,Laurea,Studente,Sì,true,true,true,false,false,false
6,7,7,4,1,4,1,2,1,3,1,2,6,2,1,6,7,2,18 - 30,Maschio,Laurea,Studente,Sì,true,true,false,false,false,false
6,7,4,3,7,3,1,1,2,6,5,2,7,6,1,5,5,2,18 - 30,Maschio,Post laurea,Studente,No,true,true,false,true,false,false
5,6,4,4,4,6,2,1,5,5,5,2,6,5,1,3,4,2,18 - 30,Femmina,Laurea,Studente,No,true,false,false,false,false,false
5,7,5,3,6,3,1,1,2,5,3,2,6,4,1,6,2,1,18 - 30,Femmina,Laurea,Studente,No,true,true,false,true,false,false
6,7,5,4,6,5,1,1,5,6,5,2,7,6,1,4,5,1,18 - 30,Maschio,Post laurea,Studente,Sì,true,true,true,true,true,true
5,7,3,2,4,3,1,1,4,6,3,2,6,5,1,2,5,2,31 - 45,Femmina,Laurea,Dipendente,No,true,true,true,false,false,false
6,6,5,6,6,5,1,1,4,6,5,3,6,4,1,4,6,2,18 - 30,Maschio,Diploma,Studente,No,true,true,true,false,false,false
5,7,4,2,6,6,1,1,2,6,6,2,6,3,1,5,6,2,18 - 30,Maschio,Diploma,Insegnante,Sì,true,true,true,false,false,false
7,7,5,5,7,7,2,1,4,7,4,2,7,4,1,7,6,2,18 - 30,Maschio,Diploma,Studente,Sì,true,true,true,false,true,false
7,7,5,5,6,6,1,1,4,5,3,2,6,7,2,7,6,1,18 - 30,Maschio,Diploma,Studente,Sì,true,true,true,false,false,false
6,7,5,5,7,5,1,1,4,4,5,1,5,4,2,6,4,1,18 - 30,Maschio,Diploma,Studente,No,true,true,false,false,true,false
6,5,5,6,7,4,1,1,4,7,3,2,3,2,1,6,5,2,18 - 30,Maschio,Diploma,Studente,Sì,true,true,false,true,false,false
7,7,6,6,5,7,2,2,7,7,7,2,6,7,2,6,7,1,18 - 30,Femmina,Diploma,Studente,Sì,true,true,true,true,false,false
6,7,7,6,6,7,1,2,4,6,5,2,4,7,2,7,5,1,18 - 30,Maschio,Diploma,Studente,No,true,true,false,true,false,false
5,6,7,6,6,6,1,1,7,6,7,3,7,5,1,7,6,1,18 - 30,Maschio,Diploma,Studente,No,true,true,false,false,false,false
4,6,4,1,5,3,2,1,2,1,6,3,5,3,1,7,2,1,18 - 30,Maschio,Diploma,Studente,Sì,true,true,false,false,false,false
6,7,7,4,7,6,1,1,4,4,4,2,6,5,1,5,6,2,18 - 30,Femmina,Diploma,Studente,No,true,true,true,false,true,false
5,7,2,6,6,7,1,1,1,3,4,2,7,5,1,7,5,1,18 - 30,Maschio,Diploma,Studente,Sì,true,true,false,false,false,false
5,7,6,3,7,5,1,1,1,7,1,2,6,5,1,5,1,1,18 - 30,Maschio,Diploma,Studente,No,true,true,true,true,true,false
6,7,6,7,7,5,1,1,5,7,5,2,6,7,1,6,7,2,46 - 60,Maschio,Post laurea,Insegnante,Sì,true,true,true,true,false,false
